"PERSON_ID","FINAL_PARENT_OKATO_NAME"
889,"Удмуртская Республика"
890,"Республика Бурятия"
891,"Калининградская область"
892,"Челябинская область"
893,
894,"Алтайский край"
895,"Москва"
896,"Санкт-Петербург"
897,"Новосибирская область"
898,"Москва"
899,"Нижегородская область"
900,"Краснодарский край"
901,"Краснодарский край"
902,"Алтайский край"
903,"Республика Бурятия"
904,"Санкт-Петербург"
905,"Тюменская область"
906,"Хабаровский край"
907,"Москва"
908,"Омская область"
909,"Алтайский край"
910,"Краснодарский край"
911,"Тульская область"
912,"Ульяновская область"
913,"Алтайский край"
914,"Иркутская область"
915,"Москва"
916,"Санкт-Петербург"
917,"Владимирская область"
918,"Ростовская область"
919,
920,"Волгоградская область"
921,"Алтайский край"
922,"Москва"
923,"Хабаровский край"
924,"Санкт-Петербург"
925,"Ставропольский край"
926,"Липецкая область"
927,"Самарская область"
928,"Ростовская область"
929,"Московская область"
930,"Ростовская область"
931,"Пензенская область"
932,"Рязанская область"
933,"Москва"
934,"Республика Башкортостан"
935,"Республика Башкортостан"
936,"Москва"
937,"Республика Коми"
938,"Волгоградская область"
939,"Санкт-Петербург"
940,"Москва"
941,"Алтайский край"
942,"Кабардино-Балкарская Республика"
943,"Тульская область"
944,"Хабаровский край"
945,"Калужская область"
946,"Ростовская область"
947,"Краснодарский край"
948,"Ростовская область"
949,"Иркутская область"
950,"Тюменская область"
951,"Республика Коми"
952,"Хабаровский край"
953,"Ивановская область"
954,"Владимирская область"
955,"Саратовская область"
956,"Новосибирская область"
957,"Республика Бурятия"
958,"Москва"
959,"Свердловская область"
960,"Краснодарский край"
961,"Иркутская область"
962,"Владимирская область"
963,"Тверская область"
964,"Челябинская область"
965,"Москва"
966,"Воронежская область"
967,"Нижегородская область"
968,"Липецкая область"
969,"Москва"
970,"Республика Дагестан"
971,"Республика Саха"
972,"Республика Башкортостан"
973,"Приморский край"
974,"Республика Бурятия"
975,"Республика Башкортостан"
976,"Республика Карелия"
977,"Новосибирская область"
978,"Алтайский край"
979,"Москва"
980,"Москва"
981,"Новосибирская область"
982,"Кировская область"
983,"Иркутская область"
984,"Иркутская область"
985,"Забайкальский край"
986,"Волгоградская область"
987,"Иркутская область"
988,"Республика Хакасия"
989,"Санкт-Петербург"
990,"Воронежская область"
991,"Самарская область"
992,"Мурманская область"
993,"Тульская область"
994,"Камчатский край"
995,"Севастополь"
996,"Вологодская область"
997,"Пермский край"
998,"Пермский край"
999,"Тамбовская область"
1000,"Тамбовская область"
1001,"Москва"
1002,"Чувашская Республика - Чувашия"
1003,"Челябинская область"
1004,"Республика Башкортостан"
1005,"Алтайский край"
1006,"Алтайский край"
1007,"Воронежская область"
1008,
1009,"Пензенская область"
1010,"Пензенская область"
1011,"Москва"
1012,"Санкт-Петербург"
1013,"Орловская область"
1014,"Санкт-Петербург"
1015,"Санкт-Петербург"
1016,"Алтайский край"
1017,"Краснодарский край"
1018,"Краснодарский край"
1019,"Республика Коми"
1020,"Амурская область"
1021,"Забайкальский край"
1022,"Ростовская область"
1023,"Новосибирская область"
1024,"Санкт-Петербург"
1025,"Санкт-Петербург"
1026,"Калужская область"
1027,"Москва"
1028,"Калининградская область"
1029,"Липецкая область"
1030,"Челябинская область"
1031,"Ивановская область"
1032,"Воронежская область"
1033,"Республика Татарстан"
1034,"Ростовская область"
1035,"Московская область"
1036,"Владимирская область"
1037,"Москва"
1038,"Ивановская область"
1039,"Пензенская область"
1040,"Амурская область"
1041,"Москва"
1042,"Москва"
1043,"Москва"
1044,"Москва"
1045,"Москва"
1046,"Москва"
1047,"Ставропольский край"
1048,"Московская область"
1049,"Москва"
1050,"Москва"
1051,"Ростовская область"
1052,"Москва"
1053,"Москва"
1054,"Москва"
1055,"Камчатский край"
1056,"Мурманская область"
1057,"Ставропольский край"
1058,"Волгоградская область"
1059,"Еврейская автономная область"
1060,"Москва"
1061,"Санкт-Петербург"
1062,"Челябинская область"
1063,"Москва"
1064,"Москва"
1065,"Сахалинская область"
1066,
1067,"Санкт-Петербург"
1068,"Свердловская область"
1069,"Тверская область"
1070,"Приморский край"
1071,"Курская область"
1072,"Москва"
1073,"Свердловская область"
1074,"Москва"
1075,"Калининградская область"
1076,"Москва"
1077,"Ярославская область"
1078,"Ростовская область"
1079,
1080,"Саратовская область"
1081,"Москва"
1082,"Москва"
1083,"Санкт-Петербург"
1084,"Санкт-Петербург"
1085,"Оренбургская область"
1086,"Самарская область"
1087,"Белгородская область"
1088,"Кабардино-Балкарская Республика"
1089,"Красноярский край"
1090,"Москва"
1091,"Московская область"
1092,"Приморский край"
1093,"Рязанская область"
